Data/Time, Laser9: 0, Laser10: 0, Laser3: 0, Laser4: 0, Laser5: 0, Laser6: 0, Laser7: 0, Laser8: 0, float, Battery , SetMon, IMon, Temp (f)
07/31/24:17:40:01,0.4868095238095241,0.5504190476190479,0.46141428571428633,0.05994761904761897,0.5158190476190467,0.4617095238095241,0.5572904761904749,0.5472857142857147,1.8464285714285704,3.0000190476190465,0.2848952380952381,0.28415238095238066,74.02454880952382
07/31/24:17:40:11,0.4867358490566045,0.5503584905660386,0.46141698113207624,0.060262264150943344,0.5158150943396221,0.4618471698113209,0.5573188679245267,0.5473245283018879,1.8480292452830183,2.9999924528301873,0.28484905660377363,0.28405660377358455,74.79310094339628
07/31/24:17:40:22,0.48676761904761984,0.5503561904761908,0.4614238095238101,0.060219999999999926,0.5157847619047611,0.46182095238095255,0.5572904761904752,0.5472857142857152,1.84333238095238,3.0000076190476195,0.28491619047619077,0.2840628571428568,74.00869714285703
07/31/24:17:40:32,0.48668380952381035,0.5503409523809525,0.46140857142857206,0.060265714285714214,0.5157999999999991,0.4617438095238099,0.5573057142857134,0.5472933333333343,1.8402295238095223,3.000007619047618,0.2849161904761905,0.2841314285714283,73.6994866666666
07/31/24:17:40:43,0.4867219047619054,0.5503104761904765,0.4614390476190484,0.06009809523809519,0.5158228571428567,0.4617057142857147,0.5573514285714278,0.5472628571428583,1.837503809523808,3.0000228571428567,0.28490857142857146,0.2841238095238087,74.00526761904757
07/31/24:17:40:53,0.4866761904761911,0.5502800000000005,0.4614314285714292,0.059938095238095145,0.5158076190476182,0.4617361904761907,0.557320952380951,0.547270476190477,1.8385371428571413,3.000030476190476,0.2848323809523811,0.284093333333333,73.69104761904761
07/31/24:17:41:04,0.4866914285714293,0.5503028571428574,0.46141619047619126,0.059793333333333254,0.515784761904761,0.46173619047619074,0.5573514285714272,0.5472247619047627,1.8429361904761903,3.000030476190476,0.2848323809523808,0.28409333333333314,73.21819523809512
07/31/24:17:41:14,0.48669904761904836,0.5503333333333338,0.4614314285714293,0.059976190476190405,0.5157999999999993,0.46165238095238137,0.557267619047618,0.5472247619047621,1.84402,3.0000609523809523,0.2848780952380951,0.2841238095238091,73.12779142857129
07/31/24:17:41:25,0.4867142857142864,0.5503409523809528,0.4613552380952387,0.060006666666666604,0.5157847619047611,0.46168285714285756,0.5572980952380944,0.547270476190477,1.8465466666666654,3.0000457142857138,0.28486285714285714,0.28409333333333286,73.1022257142858
07/31/24:17:41:35,0.48670566037735913,0.5502981132075474,0.46143962264151017,0.0600358490566037,0.5157849056603765,0.4617716981132079,0.5572584905660363,0.5472716981132083,1.8486990566037729,3.000022641509434,0.2848792452830187,0.2841094339622637,73.29482264150936
07/31/24:17:41:46,0.48673714285714353,0.5502800000000003,0.4614542857142863,0.05998380952380942,0.5157847619047611,0.46164476190476234,0.5572599999999983,0.5472400000000008,1.8490619047619035,3.0000228571428567,0.28486285714285714,0.2841314285714277,73.43832571428564
07/31/24:17:41:56,0.48671428571428643,0.5502190476190477,0.4614314285714292,0.0601514285714285,0.5157314285714276,0.46172095238095273,0.5573133333333321,0.547262857142858,1.8480714285714277,3.0000914285714284,0.28493904761904776,0.2840857142857138,73.29498285714286
07/31/24:17:42:07,0.4866990476190483,0.5501809523809522,0.46140857142857217,0.06012857142857134,0.5157466666666658,0.46166000000000046,0.5573514285714268,0.5472628571428583,1.846124761904761,3.0000457142857138,0.2848780952380954,0.28413142857142787,73.5338942857143
07/31/24:17:42:17,0.48663809523809587,0.5502114285714287,0.46131714285714365,0.05999904761904752,0.515700952380952,0.461568571428572,0.5572371428571419,0.5471866666666676,1.8434380952380942,3.000137142857144,0.28486285714285714,0.28407809523809474,73.2949599999999
07/31/24:17:42:28,0.4866990476190484,0.5501961904761905,0.45804095238095305,0.06012095238095231,0.5116361904761898,0.4560466666666672,0.555193333333332,0.5472247619047623,1.8408171428571418,3.000060952380953,0.2848857142857144,0.28408571428571383,73.27618952380939
07/31/24:17:42:38,0.48667619047619115,0.5502800000000003,0.46137047619047694,0.06000666666666659,0.5156704761904756,0.46158380952381006,0.557275238095237,0.5472019047619058,1.8362523809523807,3.0000609523809523,0.28490857142857157,0.2840628571428567,73.99685619047621
07/31/24:17:42:49,0.48669811320754797,0.550169811320754,0.46130377358490643,0.05983207547169802,0.5156415094339619,0.4615603773584912,0.5572207547169804,0.5472037735849067,1.840740566037735,3.0001056603773595,0.28487169811320734,0.2841094339622637,73.94597641509425
07/31/24:17:42:59,0.48666095238095297,0.55020380952381,0.46118000000000064,0.05987714285714276,0.5156552380952375,0.4615228571428578,0.5572295238095225,0.5471714285714295,1.8453847619047614,3.000106666666667,0.284855238095238,0.2841085714285707,73.68413904761908
07/31/24:17:43:10,0.4866609523809531,0.5502038095238094,0.461073333333334,0.0599304761904761,0.5155638095238092,0.4615228571428578,0.5572142857142847,0.5471714285714292,1.8493885714285707,3.0001066666666674,0.28484761904761907,0.2841695238095234,73.2659657142856
07/31/24:17:43:20,0.4866152380952388,0.5501809523809529,0.46111142857142945,0.06003714285714276,0.5155180952380949,0.4615228571428577,0.5572066666666655,0.5471028571428577,1.8436799999999998,3.0000990476190474,0.2848780952380953,0.2840704761904758,73.45881047619045
07/31/24:17:43:31,0.4866380952380959,0.5501200000000004,0.4610961904761911,0.060037142857142775,0.5155714285714281,0.4615228571428578,0.5571609523809512,0.5472476190476202,1.8380609523809517,3.0001066666666683,0.28491619047619055,0.28413142857142787,73.76778666666662
07/31/24:17:43:41,0.48662285714285775,0.5501123809523806,0.4610961904761911,0.05982380952380945,0.5155257142857138,0.4614619047619056,0.5571914285714272,0.5471257142857149,1.8370666666666662,3.0001447619047634,0.28490095238095214,0.2841390476190472,74.40200285714286
07/31/24:17:43:52,0.4865923809523816,0.5500438095238095,0.461080952380953,0.059884761904761816,0.5154495238095236,0.46145428571428637,0.5571457142857132,0.5471257142857149,1.8448819047619045,3.0001219047619054,0.28490095238095225,0.28409333333333286,74.68248952380956
07/31/24:17:44:02,0.48663809523809587,0.5500514285714284,0.4611495238095245,0.05990761904761897,0.5154419047619049,0.4615000000000006,0.5571457142857131,0.5471257142857149,1.8462095238095224,3.000198095238096,0.2848628571428571,0.2841466666666664,74.855500952381
07/31/24:17:44:13,0.48654666666666724,0.5500514285714286,0.4610961904761911,0.06007523809523802,0.5155180952380949,0.4614695238095245,0.5571533333333322,0.5471790476190482,1.8416666666666652,3.0001295238095254,0.28487809523809554,0.2841390476190472,74.86068571428575
07/31/24:17:44:23,0.4865924528301894,0.5500037735849054,0.46110754716981195,0.0600735849056603,0.5155509433962255,0.46149245283018936,0.5571754716981115,0.5470528301886797,1.8389245283018862,3.0001660377358483,0.28487924528301894,0.2841320754716975,73.74635943396241
07/31/24:17:44:34,0.4865695238095245,0.550028571428571,0.4611038095238102,0.059999047619047535,0.5154495238095232,0.46143904761904825,0.5571609523809512,0.5469657142857146,1.8355780952380951,3.0002133333333343,0.28490857142857157,0.28408571428571383,73.75588666666653
07/31/24:17:44:44,0.4865923809523816,0.5500133333333329,0.4609742857142862,0.05973238095238086,0.5154495238095234,0.4614238095238101,0.5570923809523797,0.5470876190476197,1.8348638095238092,3.000160000000002,0.2849085714285713,0.28413142857142804,73.93348476190461
07/31/24:17:44:55,0.4865542857142863,0.5500285714285711,0.46102000000000065,0.05976285714285704,0.5154723809523802,0.46141619047619103,0.5571380952380943,0.5470723809523815,1.8390066666666656,3.0001828571428577,0.284855238095238,0.28408571428571383,73.88053714285704
07/31/24:17:45:05,0.4865466666666673,0.5499676190476185,0.461088571428572,0.05976285714285705,0.51539619047619,0.4614161904761911,0.557107619047618,0.5470495238095242,1.8414133333333327,3.0002285714285732,0.28490095238095214,0.28410857142857093,73.87368571428561
07/31/24:17:45:16,0.4865542857142864,0.5500057142857141,0.46109619047619116,0.05996095238095228,0.5154114285714282,0.4614619047619054,0.5570771428571418,0.5470257142857146,1.8453552380952372,3.00032761904762,0.2848780952380954,0.28409333333333286,73.71655047619038
07/31/24:17:45:26,0.48650095238095287,0.5500971428571433,0.46103523809523894,0.059755238095238014,0.5154723809523802,0.46140857142857217,0.5571457142857131,0.5470647619047622,1.8442695238095221,3.0002057142857157,0.2849238095238094,0.28415428571428497,73.66532380952376
07/31/24:17:45:37,0.48655428571428627,0.5500895238095236,0.4610733333333339,0.059724761904761815,0.5154571428571426,0.4614466666666672,0.5570999999999989,0.5470419047619054,1.8460828571428556,3.0001904761904776,0.2848780952380953,0.28413142857142804,73.45372571428558
07/31/24:17:45:47,0.4866000000000007,0.5500209523809519,0.4611114285714292,0.05983904761904753,0.5154190476190477,0.4614695238095244,0.5570999999999987,0.5470342857142863,1.8454999999999984,3.000259047619048,0.28489333333333333,0.28416190476190434,73.08514857142839
07/31/24:17:45:58,0.48659245283018937,0.5500264150943387,0.4610471698113213,0.059854716981132,0.5153547169811319,0.461484905660378,0.5571301886792444,0.5471132075471709,1.8459339622641509,3.0003245283018884,0.2848792452830187,0.28414716981132,73.03291509433943
07/31/24:17:46:08,0.48653904761904815,0.55012,0.46105047619047684,0.05988476190476182,0.515327619047619,0.4614238095238101,0.5571152380952372,0.5470647619047626,1.8455152380952375,3.000358095238097,0.28490095238095225,0.28411619047618986,73.05956857142858
07/31/24:17:46:19,0.48650857142857173,0.5501352380952385,0.4610428571428579,0.05989999999999992,0.5153504761904762,0.4614238095238101,0.5570923809523802,0.5471019047619052,1.8458095238095231,3.000327619047621,0.2848780952380953,0.28413142857142804,73.66196380952391
07/31/24:17:46:30,0.48654666666666724,0.5500895238095237,0.4611038095238102,0.0597704761904761,0.515380952380952,0.461408571428572,0.5571457142857132,0.5470495238095242,1.845140952380951,3.0004114285714305,0.2849085714285713,0.28410095238095184,73.02203714285717
07/31/24:17:46:40,0.48650095238095276,0.5500971428571431,0.46111142857142917,0.059793333333333254,0.5153504761904761,0.46142380952381007,0.5570695238095227,0.5470190476190482,1.8442923809523801,3.000434285714287,0.2848704761904763,0.2841390476190468,72.91629047619058
